device_model_id,Manufacturer,Equipment Type,Model Name,First Manufactured,Last Manufactured,OS,Firmware Version,Battery Life,Scanning Rate,VVPAT?,Paper Capacity,Certification Level,Security Risks,Notes/Misc.,Discontinued
1,AVS,Batch-Fed Optical Scanner,WINScan,1/1/2001,12/31/2007,Windows XP Embedded,WINware 2.0.4,0,35,FALSE,300,FEC VSS 2002,"wireless vulnerabilities,default or weak passwords,unpatched or outdated operating system,exposed network services,insecure removable media,exposed physical ports,insufficient tamper-evident sealing",,TRUE
2,AVS,DRE Touchscreen,WINVote,11/1/2003,12/31/2015,Windows XP Embedded,1.54,-1,0,FALSE,0,FEC VSS 2002,"wireless vulnerabilities,default or weak passwords,unpatched or outdated operating system,exposed network services,insecure or unauthenticated remote access,insecure removable media,exposed physical ports,insufficient tamper-evident sealing",,TRUE
3,Avante,DRE Touchscreen,Vote-Trakker,3/1/2001,12/31/2015,Windows XP Embedded,4.7.6,-1,0,TRUE,0,FEC VSS 2002,"wireless vulnerabilities,default or weak passwords,unpatched or outdated operating system,exposed network services,insecure removable media,exposed physical ports,insufficient tamper-evident sealing",,TRUE
4,Clear Ballot,BMD,ClearAccess,1/1/2014,12/31/2024,Linux,ClearCast 2.4,-1,0,FALSE,0,VVSG 1.0 (2005),"wireless vulnerabilities,default or weak passwords,unpatched or outdated operating system,exposed network services,insecure removable media,exposed physical ports,insufficient tamper-evident sealing",,FALSE
5,Clear Ballot,BMD,ClearMark,1/1/2016,12/31/2024,Unknown,ClearCast 2.2.2,2,0,FALSE,0,VVSG 1.0 (2005),"wireless vulnerabilities,default or weak passwords,unpatched or outdated operating system,exposed network services,insecure removable media,exposed physical ports,insufficient tamper-evident sealing",Ballot-marking printer; no tabulation or scanning.,FALSE
6,Clear Ballot,Batch-Fed Optical Scanner,ClearCount,4/1/2014,12/31/2024,Windows 10,ClearCast 2.2.2,0,120,FALSE,500,VVSG 1.0 (2005),"wireless vulnerabilities,default or weak passwords,unpatched or outdated operating system,exposed network services,insecure removable media,exposed physical ports,insufficient tamper-evident sealing",High-speed central count scanner; uses commercial Canon hardware.,FALSE
7,Clear Ballot,Hand-Fed Optical Scanner,ClearCast,1/2/2018,12/31/2024,Linux ,ClearCast 2.3.0,0,8,FALSE,0,VVSG 1.0 (2005),"wireless vulnerabilities,default or weak passwords,unpatched or outdated operating system,exposed network services,insecure removable media,exposed physical ports,insufficient tamper-evident sealing",Battery life is 0 because the device has no internal battery and cannot operate without AC power.,FALSE
8,Clear Ballot,Hand-Fed Optical Scanner,ClearCast Go,1/3/2022,9/30/2024,Linux,ClearCast 2.3.0,0,8,FALSE,0,VVSG 1.0 (2005),"wireless vulnerabilities,default or weak passwords,unpatched or outdated operating system,exposed network services,insecure removable media,exposed physical ports,insufficient tamper-evident sealing",Battery life is 0 because the device has no internal battery and requires constant AC power.,FALSE
9,DFM Associates,Hand-Fed Optical Scanner,Mark-A-Vote,1/6/1981,12/31/2012,,,0,2,FALSE,0,,"outdated design,no encryption,physical tampering risk","Battery life is 0 because the device has no internal power and relies on AC input only.
Operating system and firmware version are N/A because the system is mechanical and does not include digital logic.",TRUE
10,DFM Associates,Electronic Poll Book,EIMS,1/1/1980,12/31/2024,Windows,,0,0,FALSE,0,,"unencrypted data,default or weak passwords,unpatched or outdated operating system,insecure removable media,exposed network services","Battery life is 0 because EIMS is software and has no hardware power supply of its own. Scanning rate is 0 because it does not process ballots. Paper capacity is 0 because the system is not designed to accept or scan physical paper. Firmware version is N/A because EIMS is a software application, not a hardware device.",FALSE
